Impresora;Blanco y Negro;Color;fecha lectura
Ayuntamiento Abajo;44723;46258;3-11-2022 10:31:48
Ayuntamiento Arriba;75405;58362;3-11-2022 10:31:48
Juzgado;17671;2083;3-11-2022 10:31:48
Policia - Pablo;6873;0;3-11-2022 10:31:48
Policia - Patrulla;4371;2955;3-11-2022 10:31:48
Biblioteca Celeste;3216;5551;3-11-2022 10:31:48
Biblioteca Sonia;5519;2810;3-11-2022 10:31:48
Servicios Sociales - Conchi;16113;13995;3-11-2022 10:31:48
Centro de Dia;17243;16934;3-11-2022 10:31:48
Casa de Cultura;17314;1375;3-11-2022 10:31:48
Archivo - Angela;1339;0;3-11-2022 10:31:48
Deportes - Emiliano;4777;0;3-11-2022 10:31:48
Ayuntamiento Planta 1;4660;28362;3-11-2022 10:31:48
