Impresora;Blanco y Negro;Color;fecha lectura
Ayuntamiento Abajo;40099;43905;7-10-2022 09:11:04
Ayuntamiento Arriba;70363;57854;7-10-2022 09:11:04
Juzgado;16868;1936;7-10-2022 09:11:04
Policia - Pablo;6687;0;7-10-2022 09:11:04
Policia - Patrulla;3866;2497;7-10-2022 09:11:04
Biblioteca Celeste;2884;5284;7-10-2022 09:11:04
Biblioteca Sonia;5371;2779;7-10-2022 09:11:04
Servicios Sociales - Conchi;14311;13569;7-10-2022 09:11:04
Centro de Dia;16280;16043;7-10-2022 09:11:04
Casa de Cultura;17314;1164;7-10-2022 09:11:04
Archivo - Angela;1225;0;7-10-2022 09:11:04
Deportes - Emiliano;4401;0;7-10-2022 09:11:04
Ayuntamiento Planta 1;4086;27455;7-10-2022 09:11:04
*********************** 7-10-2022 - 11:43:53 ********************************
Ayuntamiento Abajo;40148;43949;7-10-2022 11:43:53
Ayuntamiento Arriba;70686;58015;7-10-2022 11:43:53
Juzgado;16886;1938;7-10-2022 11:43:53
Policia - Pablo;6687;0;7-10-2022 11:43:53
Policia - Patrulla;3866;2497;7-10-2022 11:43:53
Biblioteca Celeste;2884;5287;7-10-2022 11:43:53
Biblioteca Sonia;5371;2782;7-10-2022 11:43:53
Servicios Sociales - Conchi;14315;13592;7-10-2022 11:43:53
Centro de Dia;16333;16102;7-10-2022 11:43:53
Casa de Cultura;17314;1244;7-10-2022 11:43:53
Archivo - Angela;1225;0;7-10-2022 11:43:53
Deportes - Emiliano;4406;0;7-10-2022 11:43:53
Ayuntamiento Planta 1;4086;27457;7-10-2022 11:43:53
*********************** 7-10-2022 - 12:16:43 ********************************
Ayuntamiento Abajo;40152;43958;7-10-2022 12:16:43
Ayuntamiento Arriba;70693;58015;7-10-2022 12:16:43
Juzgado;16889;1938;7-10-2022 12:16:43
Policia - Pablo;6687;0;7-10-2022 12:16:43
Policia - Patrulla;3866;2497;7-10-2022 12:16:43
Biblioteca Celeste;2884;5287;7-10-2022 12:16:43
Biblioteca Sonia;5371;2782;7-10-2022 12:16:43
Servicios Sociales - Conchi;14317;13592;7-10-2022 12:16:43
Centro de Dia;16333;16103;7-10-2022 12:16:43
Casa de Cultura;17314;1244;7-10-2022 12:16:43
Archivo - Angela;1225;0;7-10-2022 12:16:43
Deportes - Emiliano;4406;0;7-10-2022 12:16:43
Ayuntamiento Planta 1;4087;27457;7-10-2022 12:16:43
*********************** 7-10-2022 - 13:33:56 ********************************
Ayuntamiento Abajo;40168;43969;7-10-2022 13:33:56
Ayuntamiento Arriba;70739;58015;7-10-2022 13:33:56
Juzgado;16896;1943;7-10-2022 13:33:56
Policia - Pablo;6687;0;7-10-2022 13:33:56
Policia - Patrulla;3867;2497;7-10-2022 13:33:56
Biblioteca Celeste;2887;5287;7-10-2022 13:33:56
Biblioteca Sonia;5371;2782;7-10-2022 13:33:56
Servicios Sociales - Conchi;14333;13681;7-10-2022 13:33:56
Centro de Dia;16333;16106;7-10-2022 13:33:56
Casa de Cultura;17314;1244;7-10-2022 13:33:56
Archivo - Angela;1225;0;7-10-2022 13:33:56
Deportes - Emiliano;4409;0;7-10-2022 13:33:56
Ayuntamiento Planta 1;4088;27465;7-10-2022 13:33:56
*********************** 7-10-2022 - 14:47:20 ********************************
Ayuntamiento Abajo;40207;43969;7-10-2022 14:47:20
Ayuntamiento Arriba;70778;58015;7-10-2022 14:47:20
Juzgado;16896;1943;7-10-2022 14:47:20
Policia - Pablo;6687;0;7-10-2022 14:47:20
Policia - Patrulla;3872;2497;7-10-2022 14:47:20
Biblioteca Celeste;2887;5287;7-10-2022 14:47:20
Biblioteca Sonia;5371;2782;7-10-2022 14:47:20
Servicios Sociales - Conchi;14333;13681;7-10-2022 14:47:20
Centro de Dia;16333;16106;7-10-2022 14:47:20
Casa de Cultura;17314;1244;7-10-2022 14:47:20
Archivo - Angela;1225;0;7-10-2022 14:47:20
Deportes - Emiliano;4513;0;7-10-2022 14:47:20
Ayuntamiento Planta 1;4088;27477;7-10-2022 14:47:20
*********************** 10-10-2022 - 10:01:32 ********************************
Ayuntamiento Abajo;40244;43970;10-10-2022 10:01:32
Ayuntamiento Arriba;70845;58015;10-10-2022 10:01:32
Juzgado;16903;1943;10-10-2022 10:01:32
Policia - Pablo;6697;0;10-10-2022 10:01:32
Policia - Patrulla;3888;2503;10-10-2022 10:01:32
Biblioteca Celeste;2888;5292;10-10-2022 10:01:32
Biblioteca Sonia;5371;2782;10-10-2022 10:01:32
Servicios Sociales - Conchi;14334;13686;10-10-2022 10:01:32
Centro de Dia;16341;16111;10-10-2022 10:01:32
Casa de Cultura;17314;1279;10-10-2022 10:01:32
Archivo - Angela;1230;0;10-10-2022 10:01:32
Deportes - Emiliano;4529;0;10-10-2022 10:01:32
Ayuntamiento Planta 1;4111;27496;10-10-2022 10:01:32
*********************** 10-10-2022 - 10:20:19 ********************************
Ayuntamiento Abajo;40244;43970;10-10-2022 10:20:19
Ayuntamiento Arriba;70846;58015;10-10-2022 10:20:19
Juzgado;16903;1943;10-10-2022 10:20:19
Policia - Pablo;6697;0;10-10-2022 10:20:19
Policia - Patrulla;3888;2503;10-10-2022 10:20:19
Biblioteca Celeste;2888;5292;10-10-2022 10:20:19
Biblioteca Sonia;5371;2782;10-10-2022 10:20:19
Servicios Sociales - Conchi;14337;13690;10-10-2022 10:20:19
Centro de Dia;16341;16111;10-10-2022 10:20:19
Casa de Cultura;17314;1279;10-10-2022 10:20:19
Archivo - Angela;1233;0;10-10-2022 10:20:19
Deportes - Emiliano;4529;0;10-10-2022 10:20:19
Ayuntamiento Planta 1;4111;27496;10-10-2022 10:20:19
*********************** 10-10-2022 - 11:10:47 ********************************
Ayuntamiento Abajo;40285;43971;10-10-2022 11:10:47
Ayuntamiento Arriba;70852;58015;10-10-2022 11:10:47
Juzgado;16904;1943;10-10-2022 11:10:47
Policia - Pablo;6697;0;10-10-2022 11:10:47
Policia - Patrulla;3888;2503;10-10-2022 11:10:47
Biblioteca Celeste;2898;5292;10-10-2022 11:10:47
Biblioteca Sonia;5371;2783;10-10-2022 11:10:47
Servicios Sociales - Conchi;14339;13691;10-10-2022 11:10:47
Centro de Dia;16341;16111;10-10-2022 11:10:47
Casa de Cultura;17314;1279;10-10-2022 11:10:47
Archivo - Angela;1235;0;10-10-2022 11:10:47
Deportes - Emiliano;4529;0;10-10-2022 11:10:47
Ayuntamiento Planta 1;4111;27496;10-10-2022 11:10:47
*********************** 10-10-2022 - 13:44:37 ********************************
Ayuntamiento Abajo;40340;43986;10-10-2022 13:44:37
Ayuntamiento Arriba;70899;58020;10-10-2022 13:44:37
10-10-2022 13:44:37 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
Policia - Pablo;6697;0;10-10-2022 13:44:37
Policia - Patrulla;3890;2518;10-10-2022 13:44:37
Biblioteca Celeste;2898;5292;10-10-2022 13:44:37
Biblioteca Sonia;5373;2783;10-10-2022 13:44:37
Servicios Sociales - Conchi;14353;13780;10-10-2022 13:44:37
Centro de Dia;16341;16111;10-10-2022 13:44:37
Casa de Cultura;17314;1279;10-10-2022 13:44:37
Archivo - Angela;1235;0;10-10-2022 13:44:37
Deportes - Emiliano;4584;0;10-10-2022 13:44:37
Ayuntamiento Planta 1;4111;27507;10-10-2022 13:44:37
*********************** 10-10-2022 - 13:59:13 ********************************
Ayuntamiento Abajo;40347;43986;10-10-2022 13:59:13
Ayuntamiento Arriba;70908;58021;10-10-2022 13:59:13
10-10-2022 13:59:13 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
Policia - Pablo;6697;0;10-10-2022 13:59:13
Policia - Patrulla;3890;2518;10-10-2022 13:59:13
Biblioteca Celeste;2898;5292;10-10-2022 13:59:13
Biblioteca Sonia;5373;2783;10-10-2022 13:59:13
Servicios Sociales - Conchi;14353;13780;10-10-2022 13:59:13
Centro de Dia;16341;16111;10-10-2022 13:59:13
Casa de Cultura;17314;1279;10-10-2022 13:59:13
Archivo - Angela;1235;0;10-10-2022 13:59:13
Deportes - Emiliano;4584;0;10-10-2022 13:59:13
Ayuntamiento Planta 1;4111;27509;10-10-2022 13:59:13
*********************** 10-10-2022 - 14:08:03 ********************************
Ayuntamiento Abajo;40350;43986;10-10-2022 14:08:03
Ayuntamiento Arriba;70908;58021;10-10-2022 14:08:03
10-10-2022 14:08:03 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
Policia - Pablo;6697;0;10-10-2022 14:08:03
Policia - Patrulla;3890;2518;10-10-2022 14:08:03
Biblioteca Celeste;2898;5292;10-10-2022 14:08:03
Biblioteca Sonia;5373;2783;10-10-2022 14:08:03
Servicios Sociales - Conchi;14353;13780;10-10-2022 14:08:03
Centro de Dia;16341;16111;10-10-2022 14:08:03
Casa de Cultura;17314;1279;10-10-2022 14:08:03
Archivo - Angela;1235;0;10-10-2022 14:08:03
Deportes - Emiliano;4584;0;10-10-2022 14:08:03
Ayuntamiento Planta 1;4111;27509;10-10-2022 14:08:03
*********************** 10-10-2022 - 14:17:12 ********************************
Ayuntamiento Abajo;40350;43986;10-10-2022 14:17:12
Ayuntamiento Arriba;70910;58021;10-10-2022 14:17:12
10-10-2022 14:17:12 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
Policia - Pablo;6697;0;10-10-2022 14:17:12
Policia - Patrulla;3890;2518;10-10-2022 14:17:12
Biblioteca Celeste;2898;5292;10-10-2022 14:17:12
Biblioteca Sonia;5373;2783;10-10-2022 14:17:12
Servicios Sociales - Conchi;14353;13780;10-10-2022 14:17:12
Centro de Dia;16341;16111;10-10-2022 14:17:12
Casa de Cultura;17314;1279;10-10-2022 14:17:12
Archivo - Angela;1235;0;10-10-2022 14:17:12
Deportes - Emiliano;4584;0;10-10-2022 14:17:12
Ayuntamiento Planta 1;4111;27509;10-10-2022 14:17:12
*********************** 10-10-2022 - 14:34:21 ********************************
Ayuntamiento Abajo;40356;43986;10-10-2022 14:34:21
Ayuntamiento Arriba;70910;58022;10-10-2022 14:34:21
10-10-2022 14:34:21 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
Policia - Pablo;6698;0;10-10-2022 14:34:21
Policia - Patrulla;3890;2518;10-10-2022 14:34:21
Biblioteca Celeste;2898;5292;10-10-2022 14:34:21
Biblioteca Sonia;5373;2783;10-10-2022 14:34:21
Servicios Sociales - Conchi;14353;13780;10-10-2022 14:34:21
Centro de Dia;16341;16111;10-10-2022 14:34:21
Casa de Cultura;17314;1279;10-10-2022 14:34:21
Archivo - Angela;1235;0;10-10-2022 14:34:21
Deportes - Emiliano;4584;0;10-10-2022 14:34:21
Ayuntamiento Planta 1;4111;27511;10-10-2022 14:34:21
*********************** 11-10-2022 - 08:40:09 ********************************
Ayuntamiento Abajo;40392;43990;11-10-2022 08:40:09
Ayuntamiento Arriba;71032;58023;11-10-2022 08:40:09
Juzgado;16914;1953;11-10-2022 08:40:09
Policia - Pablo;6698;0;11-10-2022 08:40:09
11-10-2022 08:40:09 - ERROR al leer impresora: Policia - Patrulla - ERROR: Error: connect ETIMEDOUT 192.168.8.22:80
Biblioteca Celeste;2902;5292;11-10-2022 08:40:09
Biblioteca Sonia;5373;2783;11-10-2022 08:40:09
Servicios Sociales - Conchi;14398;13780;11-10-2022 08:40:09
Centro de Dia;16341;16129;11-10-2022 08:40:09
Casa de Cultura;17314;1279;11-10-2022 08:40:09
Archivo - Angela;1235;0;11-10-2022 08:40:09
Deportes - Emiliano;4584;0;11-10-2022 08:40:09
Ayuntamiento Planta 1;4115;27517;11-10-2022 08:40:09
*********************** 11-10-2022 - 09:59:03 ********************************
Ayuntamiento Abajo;40428;43990;11-10-2022 09:59:03
Ayuntamiento Arriba;71075;58035;11-10-2022 09:59:03
Juzgado;16916;1953;11-10-2022 09:59:03
Policia - Pablo;6700;0;11-10-2022 09:59:03
11-10-2022 09:59:03 - ERROR al leer impresora: Policia - Patrulla - ERROR: Error: connect ETIMEDOUT 192.168.8.22:80
Biblioteca Celeste;2902;5292;11-10-2022 09:59:03
Biblioteca Sonia;5373;2783;11-10-2022 09:59:03
Servicios Sociales - Conchi;14398;13780;11-10-2022 09:59:03
Centro de Dia;16476;16129;11-10-2022 09:59:03
Casa de Cultura;17314;1279;11-10-2022 09:59:03
Archivo - Angela;1235;0;11-10-2022 09:59:03
Deportes - Emiliano;4584;0;11-10-2022 09:59:03
Ayuntamiento Planta 1;4125;27531;11-10-2022 09:59:03
*********************** 11-10-2022 - 13:17:51 ********************************
Ayuntamiento Abajo;40495;43992;11-10-2022 13:17:51
Ayuntamiento Arriba;71181;58065;11-10-2022 13:17:51
11-10-2022 13:17:51 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
Policia - Pablo;6707;0;11-10-2022 13:17:51
Policia - Patrulla;3923;2523;11-10-2022 13:17:51
Biblioteca Celeste;2929;5321;11-10-2022 13:17:51
Biblioteca Sonia;5375;2787;11-10-2022 13:17:51
Servicios Sociales - Conchi;14421;13787;11-10-2022 13:17:51
Centro de Dia;16515;16140;11-10-2022 13:17:51
Casa de Cultura;17314;1279;11-10-2022 13:17:51
Archivo - Angela;1235;0;11-10-2022 13:17:51
Deportes - Emiliano;4584;0;11-10-2022 13:17:51
Ayuntamiento Planta 1;4153;27569;11-10-2022 13:17:51
*********************** 11-10-2022 - 13:46:55 ********************************
Ayuntamiento Abajo;40525;43992;11-10-2022 13:46:55
Ayuntamiento Arriba;71188;58065;11-10-2022 13:46:55
11-10-2022 13:46:55 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
Policia - Pablo;6707;0;11-10-2022 13:46:55
Policia - Patrulla;3923;2523;11-10-2022 13:46:55
Biblioteca Celeste;2929;5321;11-10-2022 13:46:55
Biblioteca Sonia;5375;2787;11-10-2022 13:46:55
Servicios Sociales - Conchi;14424;13787;11-10-2022 13:46:55
Centro de Dia;16515;16140;11-10-2022 13:46:55
Casa de Cultura;17314;1279;11-10-2022 13:46:55
Archivo - Angela;1235;0;11-10-2022 13:46:55
Deportes - Emiliano;4584;0;11-10-2022 13:46:55
Ayuntamiento Planta 1;4154;27572;11-10-2022 13:46:55
*********************** 11-10-2022 - 14:59:15 ********************************
Ayuntamiento Abajo;40584;43992;11-10-2022 14:59:15
Ayuntamiento Arriba;71211;58065;11-10-2022 14:59:15
11-10-2022 14:59:15 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
